id_municipio,municipio,populacao,pib_per_capita,educacao_ideb,seg_cvli_estado,infra_agua,infra_esgoto,saude_total_leitos,saude_estabelecimentos,area_km2,densidade_demografica,densidade_demografica_raw
3302254,Itatiaia,32.713 (Fonte: IBGE),"R$ 210.724,51 (Fonte: IBGE)",5.2 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",97.5% (Fonte: SNIS),74.0% (Fonte: SNIS),36 leitos (Fonte: CNES),54 unidades (Fonte: CNES),"246,3 km²","132,8 hab/km²",132.80691783046444
3304110,Porto Real,21.089 (Fonte: IBGE),"R$ 201.324,96 (Fonte: IBGE)",4.9 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",89.0% (Fonte: SNIS),86.8% (Fonte: SNIS),52 leitos (Fonte: CNES),50 unidades (Fonte: CNES),"51,0 km²","413,6 hab/km²",413.59090017650516
3300308,Barra do Piraí,98.506 (Fonte: IBGE),"R$ 27.550,72 (Fonte: IBGE)",5.0 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",76.9% (Fonte: SNIS),54.2% (Fonte: SNIS),302 leitos (Fonte: CNES),115 unidades (Fonte: CNES),"581,7 km²","169,3 hab/km²",169.3299412108502
3306107,Valença,71.449 (Fonte: IBGE),"R$ 43.704,07 (Fonte: IBGE)",4.8 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",88.5% (Fonte: SNIS),108.1% (Fonte: SNIS),356 leitos (Fonte: CNES),199 unidades (Fonte: CNES),"1.311,1 km²","54,5 hab/km²",54.49546182594768
3304508,Rio das Flores,9.267 (Fonte: IBGE),"R$ 31.767,67 (Fonte: IBGE)",5.1 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",70.6% (Fonte: SNIS),62.8% (Fonte: SNIS),27 leitos (Fonte: CNES),24 unidades (Fonte: CNES),"480,6 km²","19,3 hab/km²",19.280943761313278
3300100,Angra dos Reis,179.142 (Fonte: IBGE),"R$ 62.488,10 (Fonte: IBGE)",4.6 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",101.3% (Fonte: SNIS),64.7% (Fonte: SNIS),357 leitos (Fonte: CNES),580 unidades (Fonte: CNES),"829,0 km²","216,1 hab/km²",216.10451650260566
3303807,Paraty,47.668 (Fonte: IBGE),"R$ 41.019,20 (Fonte: IBGE)",4.3 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",88.3% (Fonte: SNIS),5.2% (Fonte: SNIS),60 leitos (Fonte: CNES),44 unidades (Fonte: CNES),"929,4 km²","51,3 hab/km²",51.29065926380236
3303609,Paracambi,43.627 (Fonte: IBGE),"R$ 26.655,17 (Fonte: IBGE)",4.7 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",79.8% (Fonte: SNIS),88.0% (Fonte: SNIS),89 leitos (Fonte: CNES),68 unidades (Fonte: CNES),"180,5 km²","241,6 hab/km²",241.64728038107899
3301801,Engenheiro Paulo de Frontin,12.644 (Fonte: IBGE),"R$ 32.168,93 (Fonte: IBGE)",5.0 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",58.6% (Fonte: SNIS),111.8% (Fonte: SNIS),29 leitos (Fonte: CNES),25 unidades (Fonte: CNES),"133,6 km²","94,7 hab/km²",94.66197499438498
3302809,Mendes,18.048 (Fonte: IBGE),"R$ 19.819,04 (Fonte: IBGE)",5.1 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",99.3% (Fonte: SNIS),99.3% (Fonte: SNIS),49 leitos (Fonte: CNES),48 unidades (Fonte: CNES),"97,5 km²","185,1 hab/km²",185.1076923076923
3303856,Paty do Alferes,31.370 (Fonte: IBGE),"R$ 21.831,78 (Fonte: IBGE)",4.9 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",62.8% (Fonte: SNIS),53.8% (Fonte: SNIS),Indisponível,48 unidades (Fonte: CNES),Indisponível,Indisponível,Indisponível
3306206,Vassouras,35.907 (Fonte: IBGE),"R$ 36.797,06 (Fonte: IBGE)",5.0 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",70.0% (Fonte: SNIS),58.8% (Fonte: SNIS),433 leitos (Fonte: CNES),109 unidades (Fonte: CNES),"540,7 km²","66,4 hab/km²",66.40713136431728
3302908,Miguel Pereira,28.142 (Fonte: IBGE),"R$ 22.475,66 (Fonte: IBGE)",5.4 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",74.9% (Fonte: SNIS),61.8% (Fonte: SNIS),81 leitos (Fonte: CNES),92 unidades (Fonte: CNES),"290,6 km²","96,9 hab/km²",96.85435022026432
3305158,São José do Vale do Rio Preto,22.813 (Fonte: IBGE),"R$ 32.374,87 (Fonte: IBGE)",5.2 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",70.1% (Fonte: SNIS),70.1% (Fonte: SNIS),49 leitos (Fonte: CNES),50 unidades (Fonte: CNES),"221,5 km²","103,0 hab/km²",102.99322799097065
3303906,Petrópolis,294.926 (Fonte: IBGE),"R$ 53.116,54 (Fonte: IBGE)",4.8 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",101.1% (Fonte: SNIS),88.2% (Fonte: SNIS),1809 leitos (Fonte: CNES),713 unidades (Fonte: CNES),"799,6 km²","368,8 hab/km²",368.83730818774154
3305802,Teresópolis,176.735 (Fonte: IBGE),"R$ 33.518,81 (Fonte: IBGE)",5.1 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",93.9% (Fonte: SNIS),Indisponível,413 leitos (Fonte: CNES),348 unidades (Fonte: CNES),"774,3 km²","228,2 hab/km²",228.24837597344734
3300803,Cachoeiras de Macacu,59.861 (Fonte: IBGE),"R$ 21.809,09 (Fonte: IBGE)",4.9 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",83.5% (Fonte: SNIS),Indisponível,80 leitos (Fonte: CNES),113 unidades (Fonte: CNES),"958,4 km²","62,5 hab/km²",62.46256586841968
3304300,Rio Bonito,59.126 (Fonte: IBGE),"R$ 30.974,78 (Fonte: IBGE)",4.7 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",44.4% (Fonte: SNIS),74.6% (Fonte: SNIS),133 leitos (Fonte: CNES),114 unidades (Fonte: CNES),"458,6 km²","128,9 hab/km²",128.921547250447
